Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100n","C_0402_1005Metric",92.608400,8.643999,-90.000000,top
"C102","100n","C_0402_1005Metric",83.921601,8.666800,-90.000000,top
"C103","10u","CP_EIA-3216-18_Kemet-A",51.612800,4.114799,90.000000,top
"C104","100n","C_0603_1608Metric",53.441600,3.759199,90.000000,top
"C105","10u","CP_EIA-3216-18_Kemet-A",64.211200,6.908799,90.000000,top
"C106","100n","C_0603_1608Metric",64.211200,2.831799,-90.000000,top
"C107","10u","C_0603_1608Metric",77.724000,24.764999,180.000000,top
"C108","100n","C_0402_1005Metric",78.181200,23.520399,0.000000,top
"C109","1u","C_0402_1005Metric",78.155800,21.488399,180.000000,top
"C110","~","C_0402_1005Metric",72.158800,13.421799,180.000000,top
"C111","~","C_0402_1005Metric",74.015600,13.421799,0.000000,top
"C201","10u","CP_EIA-3216-18_Kemet-A",95.193300,48.086699,0.000000,top
"C202","100n","C_0603_1608Metric",94.380500,46.207099,0.000000,top
"C203","10u","C_0603_1608Metric",23.335999,4.876799,90.000000,top
"C204","10u","CP_EIA-3216-18_Kemet-A",86.918799,41.910000,90.000000,top
"C205","100n","C_0603_1608Metric",85.039199,42.722800,90.000000,top
"C206","100n","C_0603_1608Metric",34.442400,5.791199,-90.000000,top
"C207","100n","C_0805_2012Metric",31.572200,14.833599,-90.000000,top
"C208","10u","CP_EIA-3216-18_Kemet-A",86.817200,32.740599,90.000000,top
"C209","100n","C_0603_1608Metric",84.937601,33.553399,90.000000,top
"D101","Red","LED_0805_2012Metric",81.381600,3.383599,0.000000,top
"D102","Green","LED_0805_2012Metric",81.381600,7.447599,0.000000,top
"D103","SMF5.0A","D_SOD-123F",51.206400,7.619999,0.000000,top
"D104","TPD1E05U06","Texas_DPY0002A_0.6x1mm_P0.65mm",70.967600,10.363199,0.000000,top
"D105","TPD1E05U06","Texas_DPY0002A_0.6x1mm_P0.65mm",75.138801,10.363200,180.000000,top
"D106","Red","LED_0805_2012Metric",94.894400,43.713399,-90.000000,top
"D201","1N4007","D_SOD-123F",95.091699,50.374697,0.000000,top
"D202","1N4148W","D_SOD-123",89.204799,40.792399,-90.000000,top
"D203","SMF5.0A","D_SOD-123F",32.943800,11.302999,180.000000,top
"D204","1N4148W","D_SOD-123",89.103200,31.637198,-90.000000,top
"F101","5x20 250mA","Littelfuse_05200101Z",32.664400,30.835599,90.000000,top
"J101","Screw_Terminal_01x08","TerminalBlock_WAGO_236-408_1x08_P5.00mm_45Degree",14.626600,51.968399,-90.000000,top
"J102","AudioJack3","Jack_3.5mm_PJ320D_Horizontal",8.839000,6.095999,0.000000,top
"J103","GT-USB-7010ASV","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",73.056001,3.846600,0.000000,top
"J104","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",72.186800,20.808399,-90.000000,top
"K201","G5Q-14","Relay_SPDT_Omron-G5Q-1",90.358200,54.274299,180.000000,top
"K202","G5V-1","Relay_SPDT_Omron_G5V-1",82.092800,42.468799,-90.000000,top
"K203","G5V-1","Relay_SPDT_Omron_G5V-1",82.092800,33.324799,-90.000000,top
"L101","Ferrite Bead","L_0603_1608Metric",49.784000,3.759199,-90.000000,top
"PS101","IRM-10-5","Converter_ACDC_MeanWell_IRM-10-xx_THT",53.263800,52.349399,-90.000000,top
"Q201","SS8050","SOT-23",94.504498,53.598198,-90.000000,top
"Q202","SS8050","SOT-23",86.527600,37.361099,90.000000,top
"Q203","SS8050","SOT-23",86.410800,28.170898,90.000000,top
"R101","1.2k","R_0402_1005Metric",80.924399,4.907602,0.000000,top
"R102","1.2k","R_0402_1005Metric",80.924399,5.923600,0.000000,top
"R103","10k","R_0402_1005Metric",78.176401,22.478999,180.000000,top
"R104","5.1k","R_0402_1005Metric",70.713599,11.328397,0.000000,top
"R105","5.1k","R_0402_1005Metric",75.387199,11.328399,180.000000,top
"R106","10k","R_0402_1005Metric",97.180400,26.009599,180.000000,top
"R107","10k","R_0402_1005Metric",82.397598,5.415601,-90.000000,top
"R108","22","R_0402_1005Metric",72.616000,14.844199,90.000000,top
"R109","22","R_0402_1005Metric",73.581200,14.844199,90.000000,top
"R110","1.2k","R_0402_1005Metric",93.395800,44.475399,90.000000,top
"R201","33","R_0805_2012Metric",21.590000,3.149599,90.000000,top
"R202","100k","R_0603_1608Metric",26.416000,4.876799,-90.000000,top
"R203","330","R_0402_1005Metric",96.774001,52.657681,-90.000000,top
"R204","100k","R_0603_1608Metric",24.859999,4.876798,90.000000,top
"R205","100k","R_0402_1005Metric",96.774000,54.588080,90.000000,top
"R206","200k","R_0805_2012Metric",35.788600,26.187399,-90.000000,top
"R207","200k","R_0805_2012Metric",35.788600,21.716999,-90.000000,top
"R208","200k","R_0805_2012Metric",27.355800,20.954999,180.000000,top
"R209","330","R_0402_1005Metric",89.255599,36.764000,0.000000,top
"R210","100k","R_0402_1005Metric",89.255599,37.795200,0.000000,top
"R211","200k","R_0805_2012Metric",32.080200,20.954999,180.000000,top
"R212","200k","R_0805_2012Metric",26.441400,16.687799,-90.000000,top
"R213","1k","R_0805_2012Metric",34.112200,14.858999,-90.000000,top
"R214","470","R_0805_2012Metric",29.032200,14.858999,-90.000000,top
"R215","330","R_0402_1005Metric",89.158600,27.650399,0.000000,top
"R216","100k","R_0402_1005Metric",89.158600,28.666399,0.000000,top
"RV101","275VAC","RV_Disc_D12mm_W5.4mm_P7.5mm",24.568000,39.563999,-90.000000,top
"RV201","275VAC","RV_Disc_D12mm_W5.4mm_P7.5mm",66.484800,46.220999,90.000000,top
"SW101","TS-1187A-B-A-B","SW_Push_1P1T_XKB_TS-1187A",95.905800,6.129599,90.000000,top
"SW102","TS-1187A-B-A-B","SW_Push_1P1T_XKB_TS-1187A",87.223600,6.126799,90.000000,top
"U101","AMS1117-3.3","SOT-223-3_TabPin2",58.674400,5.043199,0.000000,top
"U102","USBLC6-2P6","SOT-666",73.050400,11.429999,90.000000,top
"U103","ESP32-C3-WROOM-02U","ESP32-C3-WROOM-02U",88.989200,17.571199,0.000000,top
"U201","BL0942","SSOP-10_3.9x4.9mm_P1.00mm",30.946600,4.663599,-90.000000,top
